user_id,tweet,features__name,features__id,features__screen_name,features__tweets,features__location,features__primary_geo,features__geo_type,state
2840735386,RT @350: You too can share your own highlights from 2017 and what fuels you to keep on fighting for a fossil fuel free world using #2017Cli…,Orrin Williams,2840735386,transformchgo,1,"Chicago, IL","Chicago, IL",User location,
343956175,RT @JimHarris: THE TRUTH ABOUT JOBS: The Smart Economy Creates WAY More Jobs Than Dirty Fossil Fuels. Technology play a key role in the sma…,Sebastian White,343956175,SebWrites,1,Edinburgh ~ Heart of Scotland!,Edinburgh ~ Heart of Scotland!,User location,
1348379911,"RT @DecarbonizeNOW: Yes, this would be useful information.  The relevant phrase I came across recently is that solar and wind have ""hidden…",Erik Lindberg,1348379911,ErikLindy,1,"Saskatchewan, Canada","Saskatchewan, Canada",User location,
8.54394E+17,At this moment 95.45% of Alberta's electricity is being produced by fossil fuels while wind is at 0.14% capacity and producing only 0.02%,Reliable AB Energy,8.54394E+17,ReliableAB,7,Alberta,Alberta,User location,
14642444,@JustinTHaskins @scottiev @her2cubs @elizabethforma And we need to do everything we possibly can to reduce our depe… https://t.co/fr5TjHgPsv,Ken Deshaies,14642444,PassDaWord,1,"Littleton, Colorado","Littleton, Colorado",User location,Colorado
46418525,RT @350: You too can share your own highlights from 2017 and what fuels you to keep on fighting for a fossil fuel free world using #2017Cli…,NewEconomyCoalition,46418525,NewEconomics,1,"Boston, MA","Boston, MA",User location, Massachusetts
2934177608,RT @CarlSvanberg: @Daniel0311Duffy @johanknorberg @lisakvandamme @AmyPeikoff @PSchwartzIDS @stephiegal @morganisawizard @ProfLHanson @legen…,Bill Sekerak,2934177608,billsekerak3,1,"Oxnard, CA","Oxnard, CA",User location, California
32658528,"RT @SteveSGoddard: Tens of millions of east coast liberals, currently being kept alive by the fossil fuels they fear. https://t.co/JHGryV7B…",Pissed Off Crone,32658528,Sharex1,1,Nirvana,Nirvana,User location,49623
8.31692E+17,RT @manny_ottawa: What are the positives of Deep Freeze:\n\n1. Questions uni-focus Of GVT $s on Global Warming \n2. Stops the illegals crossin…,linny306,8.31692E+17,Linny306Linda,1,Canada,Canada,User location,
2829062082,"RT @CCAN: 2017 was the year that Virginians resisted fossil fuels and pushed for clean, #RenewableEnergy. We hope 2018 is another strong ye…",WowUpsideDown,2829062082,conrfam16,1,"Maryland, USA","Maryland, USA",User location,Maryland
630319799,RT @lakotalaw: Need a New Years resolution? Try divesting yourself from fossil fuels if you haven't done so already :) https://t.co/505Aweb…,April Thompson,630319799,dishgirl4,1,On stolen Sauk & Meskwaki land,On stolen Sauk & Meskwaki land,User location,
